scenario_id,tax_delta,completions_uplift_pct,year,price,rent,price_delta_pct,rent_delta_pct
4,0.0,0.15,2020,573076.2856223255,1984.3450378460354,-0.9796426955131721,-1.8678303868602364
4,0.0,0.15,2021,636884.5095196405,2097.0074231118624,-1.5655987212287115,-2.976994190678406
4,0.0,0.15,2022,728443.3147704895,2191.3689625465668,-2.15079811917418,-4.078710944739106
4,0.0,0.15,2023,728743.2246803831,2180.8801397527127,-2.7166595205255772,-5.138302187074384
4,0.0,0.15,2024,734515.8510334713,2183.8998393006696,-3.339689799792145,-6.298436519435313
5,0.0,0.2,2018,516412.33556893683,1886.107517096564,0.0,0.0
5,0.0,0.2,2019,549777.4654660837,1960.9507182620246,-0.6225304953774269,-1.1888936956296225
5,0.0,0.2,2020,571200.9359367981,1971.926865065103,-1.3036794783825356,-2.4819485036099986
5,0.0,0.2,2021,633549.4821027484,2076.0268094996136,-2.0810476324884086,-3.9477118781549803
5,0.0,0.2,2022,723196.303289628,2161.237572856733,-2.8556105256461684,-5.397631578130079
5,0.0,0.2,2023,722104.7388706722,2142.989388353384,-3.6028620311252646,-6.786435407983705
5,0.0,0.2,2024,726278.8841859206,2137.235480155239,-4.423652480070361,-8.300599499650364
6,0.0,0.25,2018,516412.33556893683,1886.107517096564,0.0,0.0
6,0.0,0.25,2019,548920.4154917507,1955.100156798071,-0.7774503730337612,-1.4836999063983058
6,0.0,0.25,2020,569332.7982677168,1959.5934930421085,-1.626470115732892,-3.0918729533297884
6,0.0,0.25,2021,630234.9706900934,2055.2751710843972,-2.5933256696515805,-4.90783548683763
6,0.0,0.25,2022,717993.6764544564,2131.557961513418,-3.5544609003876793,-6.6967768281392726
6,0.0,0.25,2023,715537.2471949833,2105.8162537301087,-4.479587202823943,-8.403354466998202
6,0.0,0.25,2024,718150.3179471379,2091.6576377321107,-5.493349931824698,-10.256144812793256
7,0.0,0.3,2018,516412.33556893683,1886.107517096564,0.0,0.0
7,0.0,0.3,2019,548064.9361002265,1949.2686482107322,-0.9320863530133283,-1.7775460543775323
7,0.0,0.3,2020,567471.8407502437,1947.3442943532805,-1.948020113406479,-3.697634764119473
7,0.0,0.3,2021,626940.8303320993,2034.7498012378444,-3.1024552355628954,-5.857490245286401
7,0.0,0.3,2022,712835.0032082044,2102.322794321231,-4.24740714572287,-7.976467729466008
7,0.0,0.3,2023,709039.8782650012,2069.346025345836,-5.346951361322194,-9.989699228040195
7,0.0,0.3,2024,710128.5156066803,2047.138940112316,-6.548997541746804,-12.166246867853193
8,0.002,0.0,2018,516412.33556893683,1886.107517096564,0.0,0.0
8,0.002,0.0,2019,553950.1862303301,1985.4222095381388,0.13172819390634416,0.04420976963936951
8,0.002,0.0,2020,580278.5881719997,2023.9111462353992,0.2648243846580023,0.08883943887305623
8,0.002,0.0,2021,649597.6407324274,2164.244530916377,0.3992935639565376,0.1338895521357797
8,0.002,0.0,2022,748416.6317306682,2288.6238134405653,0.532146571013592,0.17835887055508426
8,0.002,0.0,2023,754094.2988421161,2304.1519628612896,0.6675739044615936,0.22364972372626024
8,0.002,0.0,2024,765974.4825129983,2336.942629704994,0.8001814814152963,0.2679583683932618
9,0.002,0.05,2018,516412.33556893683,1886.107517096564,0.0,0.0
9,0.002,0.05,2019,553085.6833937338,1979.4921384344009,-0.02453885899600383,-0.2546028832065228
9,0.002,0.05,2020,578376.3854532309,2011.2234943613257,-0.06385226381561138,-0.5386052756059079
9,0.002,0.05,2021,646186.6180598609,2142.531367525888,-0.1279008794687453,-0.8707212825974198
9,0.002,0.05,2022,743005.1874549303,2257.035524962205,-0.19475350846666073,-1.2043335932337085
9,0.002,0.05,2023,747191.7044229397,2263.9269722223917,-0.25388569931994454,-1.5260158525522982
9,0.002,0.05,2024,757333.6129251955,2286.7124996655625,-0.33693371301024566,-1.88719620134834
10,0.002,0.1,2018,516412.33556893683,1886.107517096564,0.0,0.0
10,0.002,0.1,2019,552222.7665363238,1973.581400316689,-0.18051923118093116,-0.5524413587211785
10,0.002,0.1,2020,576481.510663314,1998.622632981525,-0.39126273856782134,-1.161757924268525
10,0.002,0.1,2021,642796.6369656945,2121.055828411436,-0.6518432180919742,-1.864337868449939
10,0.002,0.1,2022,737639.6931609986,2225.922657401059,-0.915481290178477,-2.566215783626047
10,0.002,0.1,2023,740363.284504133,2224.467464310227,-1.1654434022261295,-3.242385242680701
10,0.002,0.1,2024,748807.1348392483,2237.6588211114663,-1.4589952934966455,-3.991874397791517
11,0.002,0.15,2018,516412.33556893683,1886.107517096564,0.0,0.0
11,0.002,0.15,2019,551361.432314305,1967.6899268744896,-0.3362135270709943,-0.8493090990295604
11,0.002,0.15,2020,574593.9313693461,1986.1079188429628,-0.7174126435953498,-1.7806503180219924
11,0.002,0.15,2021,639427.5483759891,2099.815096958921,-1.1725564922033471,-2.8470905227316323
11,0.002,0.15,2022,732319.7008918191,2195.2774634778593,-1.6300969466011006,-3.907626816958276
11,0.002,0.15,2023,733608.1242788818,2185.7576721600713,-2.0672213260960137,-4.926144261993704
11,0.002,0.15,2024,740393.3108515019,2189.7517816774034,-2.5662318976913956,-6.0473553387737855
12,0.002,0.2,2018,516412.33556893683,1886.107517096564,0.0,0.0
12,0.002,0.2,2019,550501.6773918465,1961.817650057309,-0.49162234964911233,-1.1452095331543788
12,0.002,0.2,2020,572713.6153005537,1973.6787138270133,-1.0423075548810279,-2.3953140138606943
12,0.002,0.2,2021,636079.204409265,2078.8063924970716,-1.6900635577912104,-3.819107899772456
12,0.002,0.2,2022,727044.7676192812,2165.092331781693,-2.338659988126257,-5.228899862294467
12,0.002,0.2,2023,726925.3216702535,2147.782178199921,-2.959339893397195,-6.577963528298191
12,0.002,0.2,2024,732090.4333206064,2142.962381476587,-3.658868246602709,-8.054883282243154
13,0.002,0.25,2018,516412.33556893683,1886.107517096564,0.0,0.0
13,0.002,0.25,2019,549643.4984410615,1955.9645020736102,-0.6467463004622864,-1.4401460770697039
13,0.002,0.25,2020,570840.5303473858,1961.3343849055202,-1.3659530205504589,-3.0057803170391306
13,0.002,0.25,2021,632751.4583658626,2058.0269698061206,-2.2043870881863437,-4.780517013654717
13,0.002,0.25,2022,721814.4551838036,2135.359784218801,-3.0412292711734734,-6.530362253098421
13,0.002,0.25,2023,720313.98713396,2110.5259059637606,-3.841917853555976,-8.198498822321032
13,0.002,0.25,2024,723896.8238000763,2097.2624094105527,-4.737125219273164,-10.015668642700327
14,0.002,0.3,2018,516412.33556893683,1886.107517096564,0.0,0.0
14,0.002,0.3,2019,548786.8921419855,1950.1304153897584,-0.8015859796254188,-1.7341221337540458
14,0.002,0.3,2020,568974.6445606182,1949.0743040973105,-1.6883545610267836,-3.6120802832224297
14,0.002,0.3,2021,629444.1647174313,2037.4741186338063,-2.71554957568656,-5.731443260606395
14,0.002,0.3,2022,716628.3302347617,2106.072473512605,-3.737863006192199,-7.812335596663367
14,0.002,0.3,2023,713773.2434645247,2073.9741120144636,-4.715072308833024,-9.78839143903848
14,0.002,0.3,2024,715810.8324828144,2052.6244202149855,-5.801219925878886,-11.93088897606166
15,0.004,0.0,2018,516412.33556893683,1886.107517096564,0.0,0.0
15,0.004,0.0,2019,554679.8948057925,1986.2999601233435,0.2636299109834539,0.08843908431599434
15,0.004,0.0,2020,581815.3073724287,2025.7091775410033,0.5303500888631518,0.17775780220505855
15,0.004,0.0,2021,652191.4423034859,2167.1422282259437,0.8001814814153185,0.2679583683932618
15,0.004,0.0,2022,752399.305173319,2292.7057770254723,1.067124941757669,0.3570358599772172
15,0.004,0.0,2023,759128.4355962189,2309.305192360463,1.3396043581023864,0.4477996394417927
15,0.004,0.0,2024,772103.6684744343,2343.204663045839,1.6067658668626361,0.5366347536584826
16,0.004,0.05,2018,516412.33556893683,1886.107517096564,0.0,0.0
16,0.004,0.05,2019,553814.2531752231,1980.3672673488318,0.1071570103146069,-0.21050567291533984
16,0.004,0.05,2020,579908.0671570147,2013.0102540281991,0.2008030244776693,-0.4502443306374615
16,0.004,0.05,2021,648766.7996369224,2145.3999931782378,0.2708819845078425,-0.737997535287227
16,0.004,0.05,2022,746959.0640824249,2261.0611480325547,0.33635668842970645,-1.0281227584732155
16,0.004,0.05,2023,752179.7612579688,2268.9902386411322,0.41199333046579856,-1.3057790590642493
16,0.004,0.05,2024,763393.6562483562,2292.839937169512,0.46055168722889395,-1.6242947331045698
17,0.004,0.1,2018,516412.33556893683,1886.107517096564,0.0,0.0
17,0.004,0.1,2019,552950.199613022,1974.4539161074138,-0.04902883199743302,-0.5084758221339247
17,0.004,0.1,2020,578008.1742765955,2000.3981981138556,-0.1274745130495969,-1.0739505846164565
17,0.004,0.1,2021,645363.2825664278,2123.895700560646,-0.25515242215232714,-1.7329444699365038
17,0.004,0.1,2022,741565.0174945904,2229.89278791223,-0.38820642145880324,-2.3924339865586175
17,0.004,0.1,2023,745305.7565896974,2229.4424796485387,-0.5056496937890564,-3.0259871045917874
17,0.004,0.1,2024,754798.9508637486,2243.6548151787256,-0.6704884222346164,-3.7346125909028305
18,0.004,0.15,2018,516412.33556893683,1886.107517096564,0.0,0.0
18,0.004,0.15,2019,552087.7307709891,1968.5598380583776,-0.20492822117147425,-0.805474806986406
18,0.004,0.15,2020,576115.5962123775,1987.8723659734758,-0.4544881425561531,-1.6933927988997732
18,0.004,0.15,2021,641980.7414228199,2102.626529987919,-0.7779448708538639,-2.717012927345619
18,0.004,0.15,2022,736216.7150689722,2199.1929355672687,-1.106624880592999,-3.736237545459431
18,0.004,0.15,2023,738505.5006775779,2190.6461131551837,-1.4134476517548844,-4.713511846299712
18,0.004,0.15,2024,746317.8010145734,2195.6194048234497,-1.7865849286915703,-5.795601365077186
19,0.004,0.2,2018,516412.33556893683,1886.107517096564,0.0,0.0
19,0.004,0.2,2019,551226.8433088991,1962.6849651211433,-0.3605417609847672,-1.1015060580115366
19,0.004,0.2,2020,574230.3006081262,1975.432118921534,-0.7802434547914516,-2.3086025585168035
19,0.004,0.2,2021,638619.0277341374,2081.5896970657564,-1.2975183088476672,-3.6903317340992503
19,0.004,0.2,2022,730913.7114199011,2168.9539660111336,-1.81895851604712,-5.0598671984762085
19,0.004,0.2,2023,731778.0854226475,2152.585687107708,-2.3115217698082557,-6.369025401829742
19,0.004,0.2,2024,737948.485395251,2148.704628509274,-2.8879643513261,-7.8085086476689325
20,0.004,0.25,2018,516412.33556893683,1886.107517096564,0.0,0.0
